Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site,Release_Date_Formatted,release years,Netflix release years,Netflix Release Years
Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,South Korea,1-2 hour,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",R,7.7,89.0,86.0,19.0,14.0,54766923.0,1980-09-19,2021-02-28,"Paramount Pictures, Wildwood Enterprises",https://www.netflix.com/watch/81388042,https://www.imdb.com/title/tt0081283,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",47265.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXmZsvgOX6yQRCwO5iMcvEk8ujsYjo0vxl9JDrfuvOioX9GXMUI0ZzZK0SMzHk4Aah8DRjlulbRz_g-w79dPP1ZTjg.jpg?r=692,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,https://www.youtube.com/watch?v=BdjlLq1tqmU,YouTube,09-19-1980,1980,2021,2021
Rebel in the Rye,"Biography, Drama, Romance, War","Movies Based on Real Life,Dramas,Movies Based on Books,US Movies",English,Movie,3.1,South Korea,1-2 hour,Danny Strong,"Danny Strong, Kenneth Slawenski","Victor Garber, Hope Davis, Kevin Spacey, Nicholas Hoult",PG-13,6.7,30.0,46.0,No Awards,Not nominated,378294.0,2017-09-15,2021-02-28,Black Label Media,https://www.netflix.com/watch/80172967,https://www.imdb.com/title/tt4986134,"A young J.D. Salinger struggles to write his classic novel, ""The Catcher in the Rye,"" under the tutelage of a demanding mentor.",8472.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe48UhyPjB5FjXrIFiYICWZDtrhqH-UjZxKYWWfhHFx7TyH3pRtg_efawMKB7ebKaf549Py0YnvsBSRiGL1r4ih3lQ.jpg?r=f34,https://m.media-amazon.com/images/M/MV5BMTUyMDQ2ODI0M15BMl5BanBnXkFtZTgwMDY0NDYxMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=hjt3J9mM7aE,YouTube,09-15-2017,2017,2021,2021
The Return,Drama,"Korean Movies,Dramas",Russian,Movie,4.1,South Korea,1-2 hour,Andrey Zvyagintsev,"Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko","Nataliya Vdovina, Vladimir Garin, Konstantin Lavronenko, Ivan Dobronravov",Not Rated,8.0,82.0,82.0,34.0,19.0,504256.0,2003-06-25,2021-02-28,Octagon Films,https://www.netflix.com/watch/81388058,https://www.imdb.com/title/tt0376968,An out-of-the-way makgeolli restaurant serves as a rest stop for those with longing in their hearts for someone who may or may not return.,42530.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYTOWW7_vqdwauizZ3fSGjhHf0GUrOYaSzaYh4PMUkNc7HEIlDTHuNTsTWP_-En-Po5K7rEreyXAoE-H9An-cS0M0g.jpg?r=999,https://m.media-amazon.com/images/M/MV5BYmViZTY1OWEtMTQxMy00OGQ5LTgzZjAtYTQzOTYxNjliYTI4XkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_SX300.jpg,https://www.youtube.com/watch?v=qNR4ER9tC6A,YouTube,06-25-2003,2003,2021,2021
Stand by Me,"Adventure, Drama","Korean Movies,Dramas",English,Movie,4.1,South Korea,1-2 hour,Rob Reiner,"Bruce A. Evans, Raynold Gideon, Stephen King","Wil Wheaton, River Phoenix, Jerry O'Connell, Corey Feldman",R,8.1,91.0,75.0,5.0,11.0,52287414.0,1986-08-22,2021-02-28,Columbia Pictures Corporation,https://www.netflix.com/watch/80995482,https://www.imdb.com/title/tt0092005,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",364302.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVNAU9zADP6kFOJMxgxFyflhRLUuPsyYlmOr4DfuPddc2iwwkE1kDGj67yw-SA29fsZgLe5vyTqe2pmp0vRMu45ITw.jpg?r=d05,https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=KCxBHM17y-4,YouTube,08-22-1986,1986,2021,2021
Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,South Korea,1-2 hour,Todd Haynes,Brian Selznick,"Millicent Simmonds, Cory Michael Smith, James Urbaniak, Julianne Moore",PG,6.2,68.0,71.0,1.0,33.0,1060377.0,2017-10-20,2021-02-28,"Picrow, Amazon Studios, Cinetic Media, FilmNation Entertainment",https://www.netflix.com/watch/80190929,https://www.imdb.com/title/tt5208216,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,9533.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV4MmEq2UTyr5PJfXQXdOjNcjrkV_quj1BqmezagQSH6_dQ19jLgKH951NH2ONi1y74ZgoYX50XQ2K3kL-hUAyRDpw.jpg?r=dcd,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=o1vV0oorclg,YouTube,10-20-2017,2017,2021,2021
Intimate Strangers,"Drama, Romance, Thriller","Korean Movies,Comedies",French,Movie,6.4,South Korea,1-2 hour,Patrice Leconte,"Patrice Leconte, Jérôme Tonnerre","Fabrice Luchini, Anne Brochet, Sandrine Bonnaire, Michel Duchaussoy",R,7.0,86.0,71.0,No Awards,3.0,2110589.0,2004-09-03,2021-02-28,"Les Films Alain Sarde, France 2 Cinema",https://www.netflix.com/watch/81283663,https://www.imdb.com/title/tt0363532,"At a dinner party, longtime friends and their partners play a game of sharing every new call, text and email on their phones with the entire group.",4813.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbPuiZUIyySIY_Q9dzy_4XRqGTkp1-eDAg7OxyjqHuYaQes1R_mRTWOBf4GZzSnwWr-zoouYrgwZknvtQQw8ooc-tw.jpg?r=832,https://m.media-amazon.com/images/M/MV5BMTI1MzczNDM1NV5BMl5BanBnXkFtZTcwMTUyMzYyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=34YVqhsyDzA,YouTube,09-03-2004,2004,2021,2021
Extreme Job,"Action, Comedy, Crime","Dark Comedies,Action & Adventure,Korean Movies,Comedies,Crime Action & Adventure,Action Comedies","Korean, Mandarin",Movie,5.4,South Korea,1-2 hour,Byeong-heon Lee,Se-yeong Bae,"Shin Ha-kyun, Lee Hanee, Myoung Gong, Joon-seok Heo",Not Rated,7.1,82.0,82.0,7.0,27.0,1565885.0,2019-06-21,2021-02-28,CJ Entertainment,https://www.netflix.com/watch/81168885,https://www.imdb.com/title/tt9541602,A narcotics unit takes over a restaurant near a gangs hideout when the food they sold to keep their cover turns into the next big chicken franchise.,6757.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXq2et4bjVAKcs3OfgiPBIzCNkBQYMx19f_EokjuFz_U6yzLK_pnicslRt-lElkJpPh_Y52yYp6--4QGDAFBROLNew.jpg?r=713,https://m.media-amazon.com/images/M/MV5BMWE2ZmI5NjEtMzQ5Zi00Zjk4LWFiODItOTRkNjMwYTY1YWNlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=HB2e_6D7SDI,YouTube,06-21-2019,2019,2021,2021
The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies","English, Spanish",Movie,2.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,Tate Taylor,"Erin Cressida Wilson, Paula Hawkins","Haley Bennett, Emily Blunt, Rebecca Ferguson, Justin Theroux",R,6.5,44.0,48.0,4.0,12.0,75395035.0,2016-10-07,2021-02-27,"Sony Classical, Universal Pictures, Reliance Entertainment, Marc Platt Productions",https://www.netflix.com/watch/81144153,https://www.imdb.com/title/tt3631112,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,169614.0,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb3rZKfaauyN8WT8sbR5ff99IqyKg4vCVWv3UBB1iD9fZ37zoc9V8M0hi2WSyoUiivNzrdtUi5zSwVYReJLQoxgjFrMxCA0S1n2Or9W5VGviAkMMpR6J4NQy3kw.jpg?r=dfd,https://m.media-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=-CKPj4O5_9s,YouTube,10-07-2016,2016,2021,2021
Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies","English, Russian",Movie,3.4,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,Robert Schwentke,"Jon Hoeber, Erich Hoeber, Cully Hamner, Warren Ellis","Bruce Willis, Mary-Louise Parker, Jefferson Brown, Heidi von Palleske",PG-13,7.0,72.0,60.0,4.0,19.0,90380162.0,2010-10-15,2021-02-23,Di Bonaventura Pictures,https://www.netflix.com/watch/81408627,https://www.imdb.com/title/tt1245526,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",290548.0,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRDFJdvb-kE4eKFP1_R0_t1ui4Zuz4ApoE3VP2FSQ6C_3KtZaCY2S5PPoObJyEENJbNv6n898Ob8mxix-HPPC-u0uw.jpg?r=96d,https://m.media-amazon.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=-JZ_moituIo,YouTube,10-15-2010,2010,2021,2021
Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",English,Movie,7.8,Netherlands,1-2 hour,Andrew Heckler,Andrew Heckler,"Andrea Riseborough, Tom Wilkinson, Forest Whitaker, Garrett Hedlund",R,6.6,97.0,57.0,2.0,1.0,139270.0,2020-06-09,2021-02-19,Magnolia Pictures,https://www.netflix.com/watch/80240857,https://www.imdb.com/title/tt5314450,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,1814.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWD5wil5P2u7Rh8OxUQJpBAb6udJBzfCJRtd1B8O-EvwdP0I2vodDgrzLfpaS-PVlvlpzwYG3MTdSZREnJhpoT00jQ.jpg?r=ad6,https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=SATynwll5fE,YouTube,06-09-2020,2020,2021,2021
The Shadow,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","Action & Adventure,Adventures,Crime Action & Adventure",English,Movie,2.4,Brazil,1-2 hour,Russell Mulcahy,"Walter B. Gibson, David Koepp","Penelope Ann Miller, John Lone, Peter Boyle, Alec Baldwin",PG-13,6.1,35.0,50.0,No Awards,4.0,32063435.0,1994-07-01,2021-02-17,"Universal Pictures, Bregman/Baer Productions",https://www.netflix.com/watch/952839,https://www.imdb.com/title/tt0111143,"By day, a reformed criminal masquerades as a decadent playboy; by night he becomes single-minded crime-fighting hero the Shadow.",23422.0,https://occ-0-1567-185.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYo7k0K6y29Jw_r5vlYjC6zXxufCYD1gnV9jpLIll7G4oh2T4fXqpxa0Mn669b3gh61W1-kNTY7XsEwxs32ypHyUNg.jpg?r=214,https://m.media-amazon.com/images/M/MV5BYWM3Y2FiN2QtZjhlYS00MzU5LWJmNDgtNzAyOWZlNWM1MDEyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,https://www.youtube.com/watch?v=8LYIcXs4HV0,YouTube,07-01-1994,1994,2021,2021
